"Station_code","Station_name","Lat","Long","Species","Tissue","Substance","Year","Conc","Limit_of_quantification","Body_length"
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB101",2018,0.248,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB101",2020,0.244,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",1996,0.14,"Over LOQ",24
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",1997,0.16,"Over LOQ",18.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",1999,0.12,"Over LOQ",21.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2000,0.12,"Over LOQ",23.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2001,0.15,"Under LOQ",23.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2002,0.1,"Under LOQ",31.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2003,0.1,"Under LOQ",23
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2004,0.05,"Under LOQ",25.3
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2005,0.08,"Over LOQ",32.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2006,0.21,"Over LOQ",24.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2007,0.07,"Over LOQ",24.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2008,0.08,"Over LOQ",27.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2009,0.08,"Over LOQ",27.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2010,0.05,"Over LOQ",28
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2011,0.06,"Over LOQ",34.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2012,0.05,"Under LOQ",36.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2013,0.05,"Under LOQ",34.1
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2014,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2015,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2016,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2017,0.0311,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2018,0.317,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB118",2020,0.0342,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",1996,0.24,"Over LOQ",24
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",1997,0.35,"Over LOQ",18.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",1999,0.21,"Over LOQ",21.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2000,0.19,"Over LOQ",23.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2001,0.15,"Under LOQ",23.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2002,0.1,"Under LOQ",31.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2003,0.12,"Over LOQ",23
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2004,0.06,"Over LOQ",25.3
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2005,0.1,"Over LOQ",32.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2006,0.12,"Over LOQ",24.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2007,0.07,"Over LOQ",24.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2008,0.05,"Under LOQ",27.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2009,0.06,"Over LOQ",27.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2010,0.08,"Over LOQ",28
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2011,0.06,"Over LOQ",34.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2012,0.068,"Over LOQ",36.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2013,0.078,"Over LOQ",34.1
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2014,0.05,"Under LOQ",NA
